label,sublabel,description,styles,bgcolor
燃やせるごみ,,,,#ea3b13
金属,,,,#685ecf
空きビン・ガラス類・陶器類,,,,#7fc6e4
空き缶,,,,#bbe400
廃プラスチック類,,,,#ff6e00
新聞（チラシ）,,,,#27a047
雑誌・ダンボール・紙パック,,,,#08b925
ペットボトル,,,,#81d12e
